Feature,Coefficient
cat__thal_2,0.5827548940245758
cat__ca_0,0.5487449567526193
cat__cp_2,0.3790132236973196
cat__sex_0,0.3192843691253642
cat__exang_0,0.3101302597584294
num__thalach,0.2985089973985297
cat__slope_2,0.2184111649150621
cat__cp_3,0.20450450645164273
cat__restecg_1,0.164887359438766
cat__cp_1,0.09672908078658313
cat__ca_4,0.054421584818050026
cat__slope_0,0.019550397787758262
cat__thal_0,0.014328089704909194
cat__fbs_0,0.01113304906998122
cat__fbs_1,0.005307008105008144
num__age,-0.008476245787730973
cat__restecg_2,-0.01797510159163236
cat__thal_1,-0.07882428938829258
cat__ca_3,-0.08902656021101651
cat__restecg_0,-0.13047220067214288
num__trestbps,-0.14667379201734027
cat__slope_1,-0.22152150552782973
cat__ca_1,-0.24843134051910862
cat__ca_2,-0.24926858366555305
num__chol,-0.2878280077042698
cat__exang_1,-0.29369020258343986
cat__sex_1,-0.3028443119503743
num__oldpeak,-0.4240391104371412
cat__thal_3,-0.5018186371662023
cat__cp_0,-0.6638067537605553
